sr_no,bank_name,total_volume_mn,approved_pct,bd_pct,td_pct,reversal_count_mn,reversal_success_pct,source_month
4,Union Bank of India,"1,274.78",91.99%,7.88%,0.14%,3.87,91.57%,11
5,Punjab National Bank,"1,130.68",90.30%,9.43%,0.28%,4.67,95.99%,11
6,Canara Bank,"1,012.47",91.63%,7.70%,0.67%,3.88,79.02%,11
7,Kotak Mahindra Bank,"1,010.55",91.41%,8.21%,0.38%,3.95,70.97%,11
8,Axis Bank Ltd.,989.22,94.98%,5.02%,0.00%,2.03,98.48%,11
9,ICICI Bank Ltd.,743.57,95.93%,3.98%,0.09%,1.38,96.94%,11
10,India Post Payments Bank Limited,722.11,85.09%,14.21%,0.70%,5.16,76.92%,11
11,Indian Bank,688.17,91.09%,8.63%,0.28%,2.31,89.63%,11
12,Airtel Payments Bank Limited,655.90,81.72%,18.05%,0.23%,4.37,94.53%,11
13,Bank Of India,637.79,92.42%,6.92%,0.66%,2.99,83.83%,11
14,Indian Overseas Bank,353.99,91.16%,6.79%,2.05%,3.68,78.85%,11
15,Central Bank of India,334.49,90.40%,8.67%,0.93%,1.96,86.33%,11
16,UCO Bank,293.38,89.80%,10.11%,0.09%,1.07,93.31%,11
17,Federal Bank Ltd.,270.16,92.86%,7.11%,0.03%,0.57,98.44%,11
18,Fino Payments Bank Ltd.,242.83,81.31%,17.35%,1.34%,1.28,91.41%,11
19,Bank of Maharashtra,228.31,93.27%,6.65%,0.08%,0.66,88.18%,11
20,Indusind Bank Ltd.,218.34,87.95%,11.30%,0.74%,1.08,74.18%,11
21,IDBI Bank Ltd.,205.90,93.76%,6.10%,0.14%,0.59,85.48%,11
22,Yes Bank Ltd.,175.69,90.99%,8.83%,0.17%,0.38,73.48%,11
23,Tri O Tech Solutions Private Limited,148.71,100.00%,0.00%,0.00%,-,0.00%,11
24,Karnataka Bank,147.88,92.20%,7.66%,0.13%,0.51,98.75%,11
25,IDFC Bank Ltd.,121.41,92.87%,7.08%,0.05%,0.30,92.31%,11
26,The Jammu & Kashmir Bank Limited,102.21,92.45%,6.32%,1.23%,0.85,53.26%,11
27,Karur Vysya Bank,95.46,92.91%,6.97%,0.12%,0.25,88.84%,11
28,BANDHAN BANK LIMITED,92.91,94.34%,4.54%,1.12%,0.63,65.61%,11
29,AU Small Finance Bank,79.93,88.12%,10.93%,0.95%,0.44,75.06%,11
30,The South Indian Bank Limited,77.11,94.27%,5.49%,0.24%,0.14,91.76%,11
31,JIO Payments Bank Ltd,75.81,82.97%,15.06%,1.97%,0.84,86.61%,11
32,Uttar Pradesh Gramin Bank,65.09,91.70%,4.80%,3.50%,0.94,48.08%,11
33,Punjab and Sind Bank,59.84,90.13%,9.04%,0.83%,0.30,95.90%,11
34,NSDL Payments Bank Limited,58.75,81.88%,17.43%,0.69%,0.56,89.64%,11
35,City Union Bank,57.73,92.19%,7.72%,0.08%,0.11,98.90%,11
36,Tamilnad Mercantile Bank Limited,57.69,92.37%,7.18%,0.45%,0.17,79.53%,11
37,Ujjivan Small Finance Bank Limited,55.38,90.12%,9.66%,0.22%,0.20,94.77%,11
38,Kerala Gramin Bank,52.13,92.25%,6.96%,0.78%,0.29,54.51%,11
39,Rajasthan Gramin Bank,49.22,84.89%,12.28%,2.83%,0.48,58.94%,11
40,Karnataka Gramin Bank,48.12,87.01%,10.70%,2.29%,0.51,55.91%,11
41,Telangana Grameena Bank,44.51,88.25%,10.18%,1.57%,0.20,79.41%,11
42,Slice Small Finance Bank Ltd,40.67,95.52%,4.28%,0.20%,0.22,88.89%,11
43,Maharashtra Gramin Bank,37.47,85.79%,13.44%,0.76%,0.17,58.41%,11
44,ESAF Small Finance Bank Ltd,34.85,95.30%,4.07%,0.64%,0.13,87.85%,11
45,Andhra Pradesh Grameena Bank,31.72,89.48%,8.96%,1.56%,0.24,57.35%,11
46,Saraswat Co-operative Bank,31.18,94.43%,5.13%,0.44%,0.08,80.17%,11
47,DBS Bank India Limited,30.93,92.40%,7.47%,0.13%,0.08,94.01%,11
48,RBL Bank Ltd.,28.73,91.68%,7.94%,0.38%,0.07,74.05%,11
49,Equitas Small Finance Bank,28.07,90.71%,9.09%,0.20%,0.09,96.14%,11
50,Sarva Haryana Gramin Bank,26.58,92.15%,7.47%,0.39%,0.17,82.97%,11
1,State Bank of India,"5,275.12",93.04%,6.32%,0.64%,17.37,91.38%,09
2,HDFC Bank Ltd.,"1,536.13",95.06%,4.94%,0.01%,3.51,97.83%,09
3,Bank of Baroda,"1,356.34",91.15%,8.73%,0.13%,4.21,97.01%,09
4,Union Bank of India,"1,215.12",92.80%,7.15%,0.05%,3.43,92.32%,09
5,Punjab National Bank,"1,118.17",89.93%,9.93%,0.14%,3.60,96.60%,09
6,Kotak Mahindra Bank,965.85,92.30%,7.60%,0.10%,2.50,94.28%,09
7,Canara Bank,962.60,92.52%,7.19%,0.28%,2.71,86.72%,09
8,Axis Bank Ltd.,902.48,94.95%,5.04%,0.01%,1.96,96.25%,09
9,ICICI Bank Ltd.,730.11,95.92%,4.07%,0.01%,1.36,97.44%,09
10,India Post Payments Bank Limited,657.46,85.38%,13.18%,1.44%,4.61,59.76%,09
11,Indian Bank,647.09,92.65%,7.16%,0.20%,1.77,1.77%,09
12,Airtel Payments Bank Limited,626.60,84.66%,15.11%,0.23%,3.30,96.95%,09
13,Bank Of India,603.94,93.55%,6.26%,0.19%,2.34,89.43%,09
14,Indian Overseas Bank,329.04,93.42%,6.32%,0.26%,1.24,74.44%,09
15,Central Bank of India,311.91,91.34%,7.99%,0.66%,1.41,91.49%,09
16,UCO Bank,281.68,90.75%,8.47%,0.79%,1.56,66.23%,09
17,Federal Bank Ltd.,259.32,93.47%,6.48%,0.05%,0.58,97.05%,09
18,Fino Payments Bank Ltd.,231.13,85.06%,13.61%,1.32%,1.07,86.03%,09
19,Indusind Bank Ltd.,213.90,89.60%,10.10%,0.30%,0.91,73.64%,09
20,Bank of Maharashtra,213.37,93.20%,6.49%,0.30%,0.76,72.18%,09
21,IDBI Bank Ltd.,201.57,93.14%,6.35%,0.51%,0.69,76.64%,09
22,Yes Bank Ltd.,163.15,90.69%,9.17%,0.14%,0.33,82.27%,09
23,Karnataka Bank,141.24,92.61%,7.22%,0.16%,0.42,86.07%,09
24,Tri O Tech Solutions Private Limited,139.13,100.00%,0.00%,0.00%,-,0.00%,09
25,IDFC Bank Ltd.,114.40,93.30%,6.67%,0.03%,0.29,93.12%,09
26,The Jammu & Kashmir Bank Limited,94.62,93.33%,6.20%,0.47%,0.43,60.30%,09
27,Karur Vysya Bank,92.71,92.73%,6.88%,0.40%,0.28,89.51%,09
28,BANDHAN BANK LIMITED,91.72,94.77%,4.91%,0.32%,0.40,90.53%,09
29,AU Small Finance Bank,77.16,89.48%,9.86%,0.66%,0.35,75.21%,09
30,The South Indian Bank Limited,73.96,94.74%,4.96%,0.30%,0.14,98.20%,09
31,HDFC Bank Credit Card HCB,63.77,95.82%,4.15%,0.03%,0.15,98.27%,09
32,JIO Payments Bank Ltd,63.71,86.30%,13.00%,0.70%,0.41,95.72%,09
33,Punjab and Sind Bank,59.04,90.10%,8.39%,1.51%,0.43,62.60%,09
34,City Union Bank,56.06,92.58%,7.27%,0.15%,0.13,96.36%,09
35,Tamilnad Mercantile Bank Limited,55.19,92.93%,6.80%,0.28%,0.15,89.39%,09
36,Baroda U.P. Bank,54.02,85.15%,4.64%,10.22%,1.45,43.42%,09
37,Ujjivan Small Finance Bank Limited,53.83,91.01%,8.54%,0.45%,0.20,85.00%,09
38,NSDL Payments Bank Limited,50.72,83.80%,14.81%,1.40%,0.43,71.15%,09
39,Kerala Gramin Bank,49.94,87.81%,6.32%,5.88%,0.88,66.18%,09
40,SBI Cards and Payment Services Limited,44.04,95.53%,4.30%,0.18%,0.14,97.10%,09
41,Rajasthan Marudhara Gramin Bank,42.78,86.27%,11.97%,1.76%,0.42,43.83%,09
42,Telangana Grameena Bank,39.87,88.26%,9.30%,2.44%,0.37,39.15%,09
43,ESAF Small Finance Bank Ltd,34.03,95.80%,4.06%,0.14%,0.11,88.78%,09
44,ICICI Bank Credit Card,32.88,95.93%,4.02%,0.05%,0.07,97.11%,09
45,Andhra Pragathi Grameena Bank,31.46,83.27%,13.51%,3.22%,0.15,63.33%,09
46,Karnataka Gramin Bank,31.17,83.04%,11.11%,5.85%,0.60,37.60%,09
47,Maharashtra Gramin Bank,30.47,83.19%,13.69%,3.12%,0.23,50.40%,09
48,DBS Bank India Limited,30.33,93.33%,6.61%,0.07%,0.08,94.32%,09
49,RBL Bank Ltd.,29.74,92.70%,6.77%,0.53%,0.10,52.60%,09
50,Saraswat Co-operative Bank,29.27,94.81%,4.68%,0.51%,0.09,77.34%,09
1,State Bank of India,5214.74,93.22%,6.17%,0.61%,17.16,63.71%,07
2,HDFC Bank Ltd.,1543.98,95.16%,4.76%,0.08%,0.44,99.92%,07
3,Bank of Baroda,1328.01,90.70%,9.08%,0.22%,3.73,97.68%,07
4,Union Bank of India,1200.25,92.81%,6.98%,0.20%,3.44,85.93%,07
5,Punjab National Bank,1106.80,91.41%,8.39%,0.19%,3.55,98.66%,07
6,Kotak Mahindra Bank,960.38,92.29%,7.69%,0.02%,2.18,97.86%,07
7,Canara Bank,942.67,92.65%,7.11%,0.24%,2.84,82.15%,07
8,Axis Bank Ltd.,875.50,94.64%,5.33%,0.04%,1.80,97.82%,07
9,ICICI Bank Ltd.,735.99,96.08%,3.89%,0.02%,1.33,97.72%,07
10,India Post Payments Bank Limited,637.61,88.72%,11.16%,0.12%,2.33,99.38%,07
11,Indian Bank,631.57,92.54%,7.21%,0.25%,1.67,87.13%,07
12,Airtel Payments Bank Limited,615.75,85.84%,14.06%,0.11%,2.35,98.21%,07
13,Bank Of India,606.19,91.22%,6.34%,2.44%,3.87,54.97%,07
14,Indian Overseas Bank,322.83,91.31%,7.92%,0.76%,1.96,58.10%,07
15,Central Bank of India,292.20,91.16%,8.03%,0.81%,1.41,78.47%,07
16,UCO Bank,273.67,91.41%,8.42%,0.18%,0.91,88.54%,07
17,Federal Bank Ltd.,257.37,93.18%,6.71%,0.11%,0.55,97.09%,07
18,Fino Payments Bank Ltd.,223.00,86.83%,12.53%,0.64%,0.93,90.45%,07
19,Bank of Maharashtra,213.67,93.27%,6.60%,0.13%,0.56,92.76%,07
20,Indusind Bank Ltd.,211.20,89.96%,9.93%,0.10%,0.72,80.64%,07
21,IDBI Bank Ltd.,204.29,93.45%,6.33%,0.22%,0.67,88.00%,07
22,Yes Bank Ltd.,203.24,92.22%,7.68%,0.11%,0.29,86.92%,07
23,Karnataka Bank,140.62,92.18%,7.41%,0.41%,0.40,75.69%,07
24,Tri O Tech Solutions Private Limited,124.55,100.00%,0.00%,0.00%,-,0.00%,07
25,IDFC Bank Ltd.,118.94,93.26%,6.55%,0.18%,0.32,83.18%,07
