sr_no,bank_name,total_volume_mn,approved_pct,bd_pct,td_pct,reversal_count_mn,reversal_success_pct,source_month
36,Tamilnad Mercantile Bank Limited,57.59,92.63%,6.98%,0.39%,0.15,84.16%,10
37,Ujjivan Small Finance Bank Limited,56.36,90.20%,9.18%,0.62%,0.22,77.59%,10
38,Kerala Gramin Bank,51.97,91.01%,6.91%,2.08%,0.35,71.49%,10
39,Rajasthan Gramin Bank,47.67,86.98%,12.21%,0.81%,0.40,57.06%,10
40,Karnataka Gramin Bank,44.83,83.94%,12.24%,3.82%,0.71,56.17%,10
41,Telangana Grameena Bank,42.49,87.93%,10.00%,2.07%,0.40,33.13%,10
42,Maharashtra Gramin Bank,37.14,85.22%,13.29%,1.49%,0.21,45.64%,10
43,ESAF Small Finance Bank Ltd,35.02,95.61%,4.16%,0.23%,0.10,96.51%,10
44,Slice Small Finance Bank,34.08,95.78%,3.89%,0.33%,0.16,81.20%,10
45,Saraswat Co-operative Bank,32.19,94.70%,4.70%,0.59%,0.10,72.24%,10
46,DBS Bank India Limited,31.38,92.84%,7.15%,0.01%,0.07,96.29%,10
47,RBL Bank Ltd.,29.59,91.84%,8.06%,0.10%,0.06,87.04%,10
48,Equitas Small Finance Bank,29.10,91.05%,8.67%,0.28%,0.09,84.10%,10
49,Sarva Haryana Gramin Bank,27.74,92.99%,6.01%,1.00%,0.17,68.88%,10
50,Standard Chartered Bank,23.00,96.32%,3.62%,0.06%,0.04,90.06%,10
